name,lat,long
AOS89779,-35.28346,149.12807
AOS89785,-35.28346,149.12807
AOS89777,-35.28346,149.12807
AAT92098,35.0204,-5.9111
ALK02495,-35.28346,149.12807
AOS89758,-35.28346,149.12807
ANW69118,44.2905,-93.2681
AAQ00998,45.9111,6.1167
ADM88863,15.4921,73.8181
ABR19638,-30.1173,28.7021
AOS89776,-35.28346,149.12807
ADT91913,44.2905,-93.2681
ADL27943,44.2905,-93.2681
AFO64350,40.5656,45.8161
BAD34489,44.2905,-93.2681
AOS89782,-35.28346,149.12807
AMZ00436,43.2331,44.7831
ANW69730,44.2905,-93.2681
AAF18443,44.2905,-93.2681
AOS89762,-35.28346,149.12807
AOS89765,-35.28346,149.12807
AOS89770,-35.28346,149.12807
AOS89760,-35.28346,149.12807
ADI33159,31.9167,34.8667
AOS89787,-35.28346,149.12807
AAP22089,43.2331,44.7831
ABV22897,44.2905,-93.2681
ANW68992,44.2905,-93.2681
ABU41789,-30.1173,28.7021
AFO64351,40.5656,45.8161
ALK02493,-35.28346,149.12807
AOS89771,-35.28346,149.12807
ABR19636,-30.1173,28.7021
AOS89763,-35.28346,149.12807
AOS89766,-35.28346,149.12807
ANW69484,44.2905,-93.2681
ADU76249,44.2905,-93.2681
AAP22086,43.2331,44.7831
AAP20887,-0.4171,36.9511
BAD34491,44.2905,-93.2681
AOS89786,-35.28346,149.12807
ADL27941,44.2905,-93.2681
AMZ00438,15.4921,73.8181
ABU54838,44.2905,-93.2681
CAL49454,40.6411,-8.6511
ADM88865,14.7645,-17.3661
AOS89761,-35.28346,149.12807
BAD34490,44.2905,-93.2681
AIQ82561,-30.1173,28.7021
ADL27942,44.2905,-93.2681
AOS89781,-35.28346,149.12807
BAD34488,44.2905,-93.2681
AMZ00435,-14.2662,50.1666
ADL27940,44.2905,-93.2681
ADM88861,-35.28346,149.12807
ADU76251,44.2905,-93.2681
ABC40712,15.4921,73.8181
ADM88867,4.3211,21.1811
ATN45389,14.7645,-17.3661
AAP22088,43.2331,44.7831
AOS89788,-35.28346,149.12807
ACJ36231,34.6721,133.9171
AAW81711,50.6631,14.0811
AFO64352,40.5656,45.8161
ADI33161,31.9167,34.8667
AYV87261,44.2905,-93.2681
AOS89764,-35.28346,149.12807
ADZ96249,-4.1641,13.5541
AOS89774,-35.28346,149.12807
ADU76246,44.2905,-93.2681
AOS89769,-35.28346,149.12807
ADM88862,-35.28346,149.12807
ABY83187,15.4921,73.8181
AAP22087,43.2331,44.7831
ADN97107,31.9167,34.8667
ALK02496,-35.28346,149.12807
AOS89783,-35.28346,149.12807
AYV87282,44.2905,-93.2681
AFO64353,46.9677,31.9843
AOS89773,-35.28346,149.12807
ADZ96247,-30.1173,28.7021
AAF20205,44.2905,-93.2681
AOS89772,-35.28346,149.12807
ADN65133,34.9171,33.6361
AOS89778,-35.28346,149.12807
ACI28533,44.2905,-93.2681
ALK02494,-35.28346,149.12807
ADU76252,44.2905,-93.2681
AFO64356,43.2331,44.7831
ADM88866,5.5321,7.4861
AAQ00999,33.4111,10.4167
AFO64354,15.4921,73.8181
AOS89767,-35.28346,149.12807
ABR19639,-30.1173,28.7021
ADM88864,15.4921,73.8181
